Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/products/160574,2,0,27.132594999784487,27.481737499783776,27.132594999784487,27.830879999783065,117.0,0.007046482159319763,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/16251,1,0,24.37319299997398,24.37319299997398,24.37319299997398,24.37319299997398,117.0,0.0035232410796598814,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/products/163056,3,0,26,27.44330300023042,23.094338000191783,33.20311000015863,126.0,0.010569723238979645,0.0,26,26,33,33,33,33,33,33,33,33,33
GET,/products/163066,1,0,24.80129900004613,24.80129900004613,24.80129900004613,24.80129900004613,117.0,0.0035232410796598814,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/products/163412,1,0,21.313383000233443,21.313383000233443,21.313383000233443,21.313383000233443,118.0,0.0035232410796598814,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/products/164571,3,0,30,29.221885666629532,26.529376999860688,30.968429000040487,128.0,0.010569723238979645,0.0,30,30,31,31,31,31,31,31,31,31,31
GET,/products/164877,2,0,27,29.343334000031973,26.89778000012666,31.788887999937288,118.0,0.007046482159319763,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/products/164908,1,0,22.879579000345984,22.879579000345984,22.879579000345984,22.879579000345984,118.0,0.0035232410796598814,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/products/16646,1,0,29.353065000123024,29.353065000123024,29.353065000123024,29.353065000123024,124.0,0.0035232410796598814,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/products/168548,3,0,25,24.997302333304106,23.785172999851056,25.827639999988605,127.0,0.010569723238979645,0.0,25,25,26,26,26,26,26,26,26,26,26
GET,/products/168619,1,0,26.60323400004927,26.60323400004927,26.60323400004927,26.60323400004927,118.0,0.0035232410796598814,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/products/169029,1,0,43.50731500016991,43.50731500016991,43.50731500016991,43.50731500016991,124.0,0.0035232410796598814,0.0,44,44,44,44,44,44,44,44,44,44,44
GET,/products/169757,3,0,28,27.42463466681026,25.80756299994391,28.45417200023803,128.0,0.010569723238979645,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/172064,1,0,23.734718000014254,23.734718000014254,23.734718000014254,23.734718000014254,119.0,0.0035232410796598814,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/products/172183,2,0,24,26.868804000059754,23.93737800002782,29.800230000091688,127.0,0.007046482159319763,0.0,30,30,30,30,30,30,30,30,30,30,30
